beta,abs_m_naive,m2_improved,m4_naive,binder_cumulant
0.42000000,0.18209360,0.04945796,0.00615799,2.51748306
0.42200000,0.19868654,0.05841995,0.00830488,2.43338585
0.42400000,0.22018470,0.07041177,0.01153356,2.32633827
0.42600000,0.24561736,0.08598132,0.01616307,2.18632908
0.42800000,0.27612475,0.10603099,0.02290226,2.03710165
0.43000000,0.31387263,0.13250210,0.03303811,1.88178369
0.43200000,0.36082598,0.16738505,0.04794366,1.71118846
0.43400000,0.41212930,0.20931961,0.06759506,1.54274842
0.43600000,0.46932061,0.25849787,0.09390911,1.40538005
0.43800000,0.52737937,0.31234773,0.12531320,1.28445863
0.44000000,0.58339724,0.36813876,0.16164490,1.19272114
0.44200000,0.63045829,0.41883410,0.19806111,1.12905511
0.44400000,0.67020370,0.46433764,0.23442181,1.08725207
0.44600000,0.70260216,0.50413555,0.26927509,1.05950139
0.44800000,0.72857393,0.53830574,0.30113904,1.03922370
0.45000000,0.74919466,0.56632146,0.33019181,1.02953298
0.45200000,0.76644585,0.59067929,0.35689166,1.02289938
0.45400000,0.78109314,0.61328538,0.38170704,1.01485721
0.45600000,0.79369031,0.63220629,0.40462954,1.01237163
0.45800000,0.80483085,0.64984130,0.42606717,1.00893562
0.46000000,0.81464452,0.66485124,0.44598777,1.00896007
