beta,abs_m_naive,m2_improved,m4_naive,binder_cumulant
0.42000000,0.80631988,0.71007800,0.60294168,1.19581279
0.42200000,0.81056262,0.71553937,0.61021701,1.19183802
0.42400000,0.81446412,0.72120981,0.61654936,1.18534452
0.42600000,0.81798063,0.72566381,0.62230879,1.18177555
0.42800000,0.82169450,0.73085950,0.62806984,1.17581811
0.43000000,0.82553100,0.73582575,0.63477688,1.17238738
0.43200000,0.82949613,0.74147200,0.64094076,1.16581162
0.43400000,0.83333250,0.74672569,0.64766870,1.16153078
0.43600000,0.83557587,0.75063681,0.65205017,1.15723429
0.43800000,0.83939962,0.75486275,0.65802603,1.15480081
0.44000000,0.84289463,0.75986975,0.66395495,1.14990061
0.44200000,0.84607637,0.76457012,0.66948417,1.14526415
0.44400000,0.84868425,0.76791444,0.67450891,1.14383143
0.44600000,0.85237487,0.77348506,0.68063495,1.13765449
0.44800000,0.85567788,0.77758219,0.68612776,1.13478186
0.45000000,0.85869000,0.78172887,0.69131660,1.13126585
0.45200000,0.86198787,0.78663175,0.69753975,1.12726499
0.45400000,0.86478775,0.79079400,0.70251025,1.12337805
0.45600000,0.86746375,0.79437156,0.70677811,1.12004562
0.45800000,0.87113613,0.79966200,0.71347042,1.11574014
0.46000000,0.87327500,0.80270838,0.71759297,1.11368555
