beta,abs_m_naive,m2_improved,m4_naive,binder_cumulant
0.42000000,0.08936577,-0.25542304,0.00043985,0.00674191
0.42200000,0.09813734,-0.30649989,0.00063402,0.00674910
0.42400000,0.10843466,-0.37450104,0.00091946,0.00655583
0.42600000,0.12091273,-0.46585725,0.00140365,0.00646777
0.42800000,0.13807643,-0.60132236,0.00224508,0.00620893
0.43000000,0.16170795,-0.80815738,0.00390235,0.00597495
0.43200000,0.19410983,-1.13945895,0.00718059,0.00553048
0.43400000,0.24243272,-1.69825434,0.01427322,0.00494899
0.43600000,0.31413831,-2.65682334,0.02949076,0.00417793
0.43800000,0.41110405,-4.15519039,0.05904878,0.00342002
0.44000000,0.51758283,-6.04605477,0.10508563,0.00287474
0.44200000,0.60324081,-7.79318816,0.15753625,0.00259388
0.44400000,0.66252641,-9.17605262,0.20771765,0.00246696
0.44600000,0.70056421,-10.17521331,0.25011158,0.00241572
0.44800000,0.72813962,-10.96103046,0.28706911,0.00238937
0.45000000,0.74933805,-11.59194843,0.31953473,0.00237796
0.45200000,0.76655421,-12.12341986,0.34849052,0.00237105
0.45400000,0.78126323,-12.57938669,0.37506575,0.00237022
0.45600000,0.79372728,-12.97850365,0.39893445,0.00236838
0.45800000,0.80477095,-13.33862868,0.42115134,0.00236710
0.46000000,0.81460464,-13.66721806,0.44177433,0.00236505
