beta,abs_m_naive,m2_improved,m4_naive,binder_cumulant
0.42000000,0.54544019,0.35368518,0.17958025,1.43557157
0.42200000,0.56192346,0.37114810,0.19336932,1.40376073
0.42400000,0.58005481,0.39071148,0.20856896,1.36627254
0.42600000,0.59750873,0.40972265,0.22416904,1.33535175
0.42800000,0.61508625,0.42972103,0.24051835,1.30249180
0.43000000,0.63071935,0.44726202,0.25579378,1.27869197
0.43200000,0.64756088,0.46600400,0.27277217,1.25609001
0.43400000,0.66314311,0.48472192,0.28937715,1.23162621
0.43600000,0.67875267,0.50290091,0.30618201,1.21063946
0.43800000,0.69499991,0.52302332,0.32469920,1.18696826
0.44000000,0.70787995,0.53815941,0.34005489,1.17415964
0.44200000,0.72229548,0.55643670,0.35759850,1.15495261
0.44400000,0.73548094,0.57329736,0.37472466,1.14012477
0.44600000,0.74860418,0.58981489,0.39194658,1.12666658
0.44800000,0.76005943,0.60519228,0.40825817,1.11467465
0.45000000,0.77077059,0.61903945,0.42349163,1.10511678
0.45200000,0.78165245,0.63424488,0.43967845,1.09300269
0.45400000,0.79190305,0.64787702,0.45537429,1.08488414
0.45600000,0.80130669,0.66093310,0.47043709,1.07692770
0.45800000,0.81000528,0.67420505,0.48513553,1.06728175
0.46000000,0.81812923,0.68552036,0.49909203,1.06203766
