beta,abs_m_naive,m2_improved,m4_naive,binder_cumulant
0.42000000,0.35063739,0.16468814,0.05036622,1.85701192
0.42200000,0.37522085,0.18473883,0.06025840,1.76563616
0.42400000,0.40358417,0.20840611,0.07304029,1.68167313
0.42600000,0.43080849,0.23212720,0.08654437,1.60615246
0.42800000,0.46209490,0.26015948,0.10317836,1.52443640
0.43000000,0.49199159,0.28855306,0.12068473,1.44944240
0.43200000,0.52449552,0.32065539,0.14169416,1.37808136
0.43400000,0.55485292,0.35141557,0.16277478,1.31809017
0.43600000,0.58739582,0.38510940,0.18725955,1.26262894
0.43800000,0.61669000,0.41639468,0.21168626,1.22090629
0.44000000,0.64561187,0.44847911,0.23745265,1.18057228
0.44200000,0.67091286,0.47821378,0.26239186,1.14737712
0.44400000,0.69530159,0.50742718,0.28835395,1.11989798
0.44600000,0.71661171,0.53372857,0.31275261,1.09789306
0.44800000,0.73568647,0.55814684,0.33672443,1.08088050
0.45000000,0.75295438,0.58122072,0.35967728,1.06470878
0.45200000,0.76849180,0.60228191,0.38235208,1.05405633
0.45400000,0.78149216,0.62054070,0.40256174,1.04542279
0.45600000,0.79386340,0.63793270,0.42281253,1.03895832
0.45800000,0.80464395,0.65416740,0.44172137,1.03221606
0.46000000,0.81452224,0.66880815,0.45985262,1.02805311
